pm10	no2	so2	soot
98.67 14.1	44.38	34.81
52.33 14.1	29.75	33.06
74.67	20.5	36.25	39.25
72	17.3	46.44	34.38
81	25.64	56.56	45.59
147	25.2	42.38	69.33
185	21.91	71.69	84.06
148.67	25.09	51.75	74.41
216	37.27	63.47	64.06
135.67	23.18	63.13	58.94
138.67	21.64	67.56	49.65
96.67	21	84.24	49.83
101	22.64	83.06	46.44
129.33	25.42	78.11	55.53
101	21.42	52.44	42.42
83.67	47.08	44.94	39.84
88.67	24.75	41.67	47.79
149.33	34.75	87.22	83.79
41	32.08	52.89	46.42
46.33	26.5	36.5	27.76
26.67	19.67	28.59	16.28
28.33	23.42	19.82	18.17
40.67	25.58	17.94	28.56
38	30.33	19.88	27.39
25	25.33	16.88	16.17
48.67	32.5	20.35	29.11
35.67	27.42	25.47	22.28
21.33	18.83	15.83	19.88
16.67	17.5	14.44	23.71
29.33	15.42	15.28	27.61
31.33	17	17.39	24.33
25.67	14.58	20.39	23
21.33	14.92	25.11	19.78
19.67	10.42	20.88	19.79
49.67	14.58	19.22	29.84
62	30.08	27.06	48
30.67	27.67	21.61	35.68
29.33	19.58	16.39	23.11
27	16.17	15.11	23.79
12.67	14.5	11.5	15.94
30.33	25	17.67	30.05
22	21	15.56	24.05
18.33	17.82	14.33	17.21
21.33	17.55	17.35	17.83
24	15.91	13.76	16.94
18.67	12.91	13.35	14.89
35.33	23.18	16.35	22.06
37	32.27	21.65	33.83
33.33	19.33	16.28	25.68
20	13.67	18.56	19.53
34.33	19.92	15.33	21.89
52.67	23	17.33	29.32
75.33	23.17	13.78	35.26
114.33	39.58	31.72	53.37
123	39.08	35.06	52.26
89	29.92	23.06	39.63
72.33	31	23.72	37.89
44.33	29.58	23.94	35.47
36.67	31.5	20.72	35.47
75.5	35.13	28.65	48.47
56.75	30.25	26.5	41.53
56.5	27.94	27.9	43.32
38.5	16.75	19	26.11
22.75	10.56	15.75	21.11
33	17.81	15.8	23.79
29.83	15.81	11.35	18.21
31.17	17.44	11.9	22.32
33.17	22.81	17.1	26.16
42	20.75	14.5	25.11
32.67	22.13	17.85	24.83
25.2	17.44	14.25	22
25.67	18.13	16.2	20.22
42	18.06	14	21.83
72	25.44	25.25	35.72
38.83	18.69	16.55	20.33
41.33	17.19	13.65	18.78
23.17	12.38	11.7	16.06
27	16.63	12.3	18.28
38.33	18.75	15	19.05
26.6	15.75	13.55	15.74
31	14.94	12.4	16.42
28	20	14.15	17.79
21.83	21.27	13.5	14.59
28.83	18.57	12.6	17
34.67	26.33	17.4	21.24
34.17	28	17.95	20.88
27.33	22.6	14.85	16.71
47.83	13.29	10.95	15.88
29.83	19.57	12.05	16.82
34.2	19.21	9.9	19.44
60.83	19.47	12.55	24.65
39.17	17.46	10.95	20.5
27.5	16.07	10.3	16.27
35.33	20.93	11.7	21.27
51.83	31.07	12.45	29.2
53.6	29	14.1	27.6
48	30.36	12.9	27.63
39	30.8	11.25	32.88
65.8	34.33	14.15	42.71
61.4	38.6	19.2	42.67
39.17	18	10.3	18.61
35.33	15.27	9.8	12.89
44	15.36	8.8	13.94
32.83	22.57	11.6	24.76
40.83	25.5	12.3	29.24
45.67	39.69	14.7	42.74
27.67	24.13	10.5	17.84
24.67	22.94	9.45	17.11
34	23.31	9.55	23.05
28.17	23.75	9.2	19.68
34.33	22.94	9.1	19.05
29.67	20.5	8.75	18.89
19.75	20.5	8.45	17.05
28.83	28.81	9.5	28.32
39	28.13	11.3	27.16
24.5	18.38	8.85	13.47
23.33	17.75	7.55	14.42
24.2	19.38	9.55	16.95
24.2	23.93	9.05	22.95
17.6	21.2	8.85	19.26
28	15.5	7.9	18.63
25.67	11.69	7.85	16.68
37	19.94	9.3	21.74
33.67	22.75	10.1	24.89
25.17	18.44	8.6	20.05
22	21	8.8	21.05
23	21.75	8.5	21.74
26.67	29.63	10.85	30.63
35.75	33.25	13.4	37
31	30.13	11.55	30.42
36.5	30.31	17.4	27.63
31.5	26.13	10.65	22.37
20.17	17.25	9.1	18.21
32.5	22.44	9.35	22.95
47.67	29.81	12.95	28.84
40.17	28.81	13.3	25.42
44.17	27.06	11.9	25.37
38.17	25.19	11.8	23.32
34.17	19.07	10.25	21.11
31.17	16.4	9.45	16.94
35.67	25.67	10	20.78
43.17	34.6	13.5	27.78
23.67	23.27	9.75	16.89
29.5	25	10.45	23.72
39.17	30.6	10.4	25.89
35	29.07	11.55	22.16
28	20.33	9.55	17.42
20.5	18	8.9	16.33
21.17	19.47	9.45	17.11
23.33	17.67	9.7	17.61
28.33	19.73	10.5	17.67
28.5	22.33	9.1	16.42
21.67	23.25	9.15	15.79
26.17	23.87	9.7	17.21
25.67	24.56	10	20.21
23.67	26.5	9.35	17.26
